shot,action,visual requirement,blocker note
1,1. Start a reply.,Direct iPad recording required,No fabricated screenshots or MP4
2,2. Open Copilot.,Direct iPad recording required,No fabricated screenshots or MP4
3,3. Enter the prompt.,Direct iPad recording required,No fabricated screenshots or MP4
4,4. Generate.,Direct iPad recording required,No fabricated screenshots or MP4
5,5. Review the draft.,Direct iPad recording required,No fabricated screenshots or MP4
6,6. Adjust or regenerate.,Direct iPad recording required,No fabricated screenshots or MP4
7,7. Keep the draft.,Direct iPad recording required,No fabricated screenshots or MP4
8,8. Edit manually.,Direct iPad recording required,No fabricated screenshots or MP4
9,"9. Confirm account, From address, recipients, facts and tone.",Direct iPad recording required,No fabricated screenshots or MP4
10,10. Send.,Direct iPad recording required,No fabricated screenshots or MP4
